REGIONE,COMUNE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA
LAZIO,SANTA MARINELLA,ROMA,RMIC8CA00G,I.C. PIAZZALE DELLA GIOVENTU 1,RMEE8CA01N,S.MARINELLA - PIRGUS,VIA AUGUSTA 17,00058,SCUOLA PRIMARIA
LAZIO,BRACCIANO,ROMA,RMIS048005,LUCA PACIOLO,RMTD04801B,LUCA PACIOLO,VIA PIAVE 22,00062,ISTITUTO TECNICO COMMERCIALE
LAZIO,ALATRI,FROSINONE,FRIC83700Q,ISTITUTO COMPRENSIVO 1 ALATRI,FRAA83701L,INFANZIA CAPOLUOGO,VIA MARTIRI UNGHERESI 17,03011,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMMM67000C,CPIA 1,RMCT70100L,C.T.P. 02,VIA TIBURTINA ANTICA 25,00185,CENTRO TERRITORIALE
LAZIO,VETRALLA,VITERBO,VTIS01200C,"""A. FARNESE"" - CAPRAROLA",VTPS01201V,""" P. CANONICA "" - VETRALLA",LOC. MAZZOCCHIO,01013,LICEO SCIENTIFICO
LAZIO,ROCCA DI PAPA,ROMA,RMIC8AQ00N,LEONIDA MONTANARI,RMAA8AQ03L,GIARDINO DEGLI ULIVI,VIA DEI GELSOMINI SNC,00040,SCUOLA INFANZIA
LAZIO,MARINO,ROMA,RMIC8A100A,IC MARINO CENTRO,RMMM8A101B,UNGARETTI-CARISSIMI,VIA OLO GALBANI,00047,SCUOLA PRIMO GRADO
LAZIO,MONTEFIASCONE,VITERBO,VTIC82800T,I.C. MONTEFIASCONE,VTAA82804T,PLESSO DI MOSSE,VIA MOSSE,01027,SCUOLA INFANZIA
LAZIO,ARDEA,ROMA,RMIC8DA006,IC ARDEA II,RMIC8DA006,IC ARDEA II,VIA TANARO SNC,00040,ISTITUTO COMPRENSIVO
LAZIO,FROSINONE,FROSINONE,FRIS01100Q,"I.I.S. ""A.G. BRAGAGLIA"" FROSINONE",FRRI01102C,S.S. CASA CIRCONDARIALE,Non Disponibile,Non Disponibile,IST PROF INDUSTRIA E ARTIGIANATO
LAZIO,PALIANO,FROSINONE,FRIC827005,I.C. PALIANO,FRMM827016,"S.M.""FRATELLI BEGUINOT"" PALIANO",VIA FRATELLI BEGUINOT,03018,SCUOLA PRIMO GRADO
LAZIO,LATINA,LATINA,LTIC832008,I.C. G.GIULIANO,LTIC832008,I.C. G.GIULIANO,VIA SEZZE 25,04100,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMIC86400V,I. C. LUCIO FONTANA,RMAA86401Q,VIA VALLE DEL VESCOVO,VIA VALLE DEL VESCOVO 25,00188,SCUOLA INFANZIA
LAZIO,MONTALTO DI CASTRO,VITERBO,VTIC805005,I.C. MONTALTO DI CASTRO,VTEE805028,PESCIA ROMANA,VIA DELLA MARZOLA,01014,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8CT007,I.C. VIA RUGANTINO 91,RMMM8CT018,VIA RUGANTINO 91,VIA RUGANTINO 91,00169,SCUOLA PRIMO GRADO
LAZIO,POGGIO MIRTETO,RIETI,RIIC82500N,IST. COMPRENSIVO BASSA SABINA,RIEE82503T,"SCUOLA PRIMARIA ""VOLPICELLI""",VIALE G. DE VITO14,02047,SCUOLA PRIMARIA
LAZIO,VILLA LATINA,FROSINONE,FRIC821006,I.C. ATINA,FRMM821028,SEZ. STACC. VILLA LATINA,VIA PARCO RIMEMBRANZE 12,03040,SCUOLA PRIMO GRADO
LAZIO,ALATRI,FROSINONE,FRPM08000L,"""PIETROBONO"" ALATRI",FRPM08000L,"""PIETROBONO"" ALATRI",PIAZZA SANTA MARIA MAGGIORE6,03011,ISTITUTO MAGISTRALE
LAZIO,SAN VITTORE DEL LAZIO,FROSINONE,FRIC843003,I.C. CERVARO,FREE843037,S.VITTORE DEL LAZIO CAPOLUOGO,VIA ROMA,03040,SCUOLA PRIMARIA
LAZIO,VALMONTONE,ROMA,RMIC8CF00P,MADRE TERESA DI CALCUTTA,RMMM8CF01Q,ZANELLA - VALMONTONE,CORSO GARIBALDI 80,00038,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8B0005,G. PALLAVICINI,RMAA8B0012,CASALE,VIA E. GIACHINO 24,00144,SCUOLA INFANZIA
LAZIO,ZAGAROLO,ROMA,RMIC8A600D,ISTITUTO COMPRENSIVO ZAGAROLO,RMAA8A602B,"""DE AMICIS"" INFANZIA",VIA COLLE DEI FRATI 13/A,00039,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC82800Q,PIETRO M.CORRADINI,RMIC82800Q,PIETRO M.CORRADINI,VIA DI S.MATTEO104,00044,ISTITUTO COMPRENSIVO
LAZIO,GENZANO DI ROMA,ROMA,RMIC8BA001,GIUSEPPE GARIBALDI,RMEE8BA035,GENZANO - MARCHESI,VIA SELVA,00045,SCUOLA PRIMARIA
LAZIO,TORRE CAJETANI,FROSINONE,FRIC80400C,I.C. GUARCINO,FREE80402G,TORRE CAJETANI CAPOLUOGO,VIA SPIUGHE,03010,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8EC00C,I.C. PIAZZA WINCKELMANN,RMEE8EC01E,BRASILE-SEDE DI VIA LANCIANI,VIA LANCIANI 45,00162,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8CZ006,"""VIA CAROTENUTO 30""",RMEE8CZ018,MALAFEDE 2,VIA PIERO GHERARDI 39,00125,SCUOLA PRIMARIA
LAZIO,ISOLA DEL LIRI,FROSINONE,FRIC83200L,I.C. ISOLA DEL LIRI,FRAA83204L,FORLI INFANZIA,VIA FORLI,03036,SCUOLA INFANZIA
